cat,name
D,"['teacher training' 'singing' 'authenticity' 'music teachers'
 'clinical improvisation' 'health and well-being' '20th c.'
 'identity construction' 'songs' 'conferences' 'marketing' 'music therapy'
 'music teacher identity' 'cultural diversity' 'state of research'
 'development' 'underground music' 'musicking' 'clinical practice'
 'youth culture' 'early 21st c.' 'pedagogy as discipline'
 'musical identity' 'musicians' 'zef' 'post-socialism'
 'conceptual blending theory'
 'minzu minjian wudao (Chinese national-style folk dance)' 'jojk'
 'musical development' 'performer (career)' 'women' 'meaning'
 'identity formation' 'autobiographies' 'social psychology'
 'multiculturalism' 'higher education' 'rave parties'
 'elementary and secondary school' 'disabilities' 'chicha'
 'secondary school' 'musical preferences' 'verbal overshadowing'
 'older adults' 'embodiment' 'electronic portfolios'
 'community music therapy (CoMT)' 'lifelong learning' 'informal learning'
 'chansons' 'pedagogical applications' 'history and development'
 'traditional dance' 'men' 'musical experience' 'Nazism' 'critique'
 'emotions' 'elementary school' 'striptease' 'historiae' 'technology'
 'public spaces' 'ca. 1900' 'viewed by Theodor W. Adorno'
 'forensic mental health' 'restorative justice' 'eudaimonia'
 'movement education' 'music therapists' 'themes' 'multiple sclerosis'
 'ballet dancers' 'song collecting' 'symphonies' 'rock, punk' 'curriculum'
 'enculturation' 'conservatory students' '19th c.' 'palliative care'
 'preservice teachers' 'emigration' 'undergraduates' 'collective memory'
 'preschool' 'anxiety' 'saints' 'Chinese people' 'mental health'
 'film music and television music' 'memory' 'Oi!' 'resistance'
 'nonmusicians' 'coping' 'learning' ""children's songs"" 'music schools'
 'creolization' 'Dansktop' 'music participation' 'social media'
 'arts-based research' 'international conventions'
 'interpersonal relationships' 'pitch matching' 'Juno Awards'
 'arts integration' 'brain injury' 'glocalization'
 'community of practice theory' 'college and university'
 'orchestra musicians' 'amateur performing organizations'
 'role identities' 'rock musicals' 'Guided Imagery and Music (GIM)'
 'sense of self' 'aesthetics as discipline' 'happiness'
 'online communities' 'homelessness' 'Nordoff-Robbins music therapy'
 'Folkhemmet' 'social learning' 'group music therapy'
 'traumatic brain injury' 'qaḃalah' 'music therapist' 'personality'
 'virtuosity' 'art music' 'globalization' 'women artists' 'orchestras'
 'human body' 'imagination' 'fandom' 'vocal aesthetics' 'voice quality'
 'countertenor voice' 'studio instruction' '1920s-30s' 'German language'
 'aesthetic experience' 'choir' 'brain' 'diaries' 'dance music'
 'self-concept' 'musicianship' 'lyrics' 'creativity' 'kindergarten'
 'girls' 'sociology of music' 'age' 'resonance' 'child development'
 'cultural influences' 'race' 'assessment' 'role in music' 'methodology'
 'opera' 'transmission' 'children and adolescents' 'labor movement'
 'university students' 'tuning' 'experimental music' 'graduate studies'
 'composer' 'typology' 'treatises' 'identity politics'
 'aesthetic response' 'professional training' 'Schlager' 'raves' 'rap'
 'biology' 'teachers' 'early 19th c.' 'amateur musicians' 'music making'
 'body awareness' 'commercialization' 'ethics' 'school music therapy'
 'doubling (psychology)' 'self-affirmation theory' 'family systems theory'
 'vocal communication' 'Chicano studies' 'singing voice'
 'migrant identity' 'interpretation pedagogy' 'son montuno'
 'ballet dancer' 'career preparation' '""Hungarus""' 'creolization theory'
 'emotional understanding' 'psychiatric music therapy' 'baile chino'
 'social relationships' 'flutist']"
E,"['Turkish people' 'Black people' 'Tolai people' 'Romani people'
 'Greek people' 'African peoples' 'German people' 'Russian people'
 'Miao people' 'Jewish people' 'Afrikaans-speaking people'
 'Greek-speaking people' 'Dalit people' 'Filipino people' 'Papuan people'
 'Seto people' 'Korean people' 'Sámi people' 'Chicano people'
 'Chilean people' 'Macedonian people' 'South Slavic peoples'
 'Swedish-speaking people' 'Iraqi Jewish people' 'African Americans'
 'Aymara people' 'Armenian people' 'Black Canadians' 'Akatek people']"
F,['<Copy shop>' '<How many roads>' '<Immortal beloved>']
G,"['United States of America' 'Germany' 'Europe' 'Sweden' 'Norway' 'Turkey'
 'Finland' 'China' 'Denmark' 'England' 'İzmir' 'South Africa' 'Spain'
 'Czech Republic' 'Indonesia' 'Oslo' 'London' 'Slovenia' 'Lengshuijiang'
 'Hunan' 'Kenya' 'Canada' 'Greece' 'Hong Kong' 'Italy' 'Asia' 'Cuba'
 'Cyprus' 'New Britain' 'Peru' 'Central Europe' 'Australia'
 'United Kingdom--England' 'Papua New Guinea' 'Færøerne/Føroyar' 'Croatia'
 'Austria' 'Armenia' 'Mongolia' 'Maritime Southeast Asia' 'Sápmi' 'India'
 'Romania' 'Mediterranean region' 'Andalucía' 'Cape Town/Kaapstad'
 'Slovakia' 'Guizhou' 'Essen' 'Latin America' 'British Isles' 'Latvia'
 'New York' 'Rochester' 'Georgia' 'Narvik' 'Tórshavn' 'Brazil'
 'Portuguese-speaking lands' 'Illinois' 'Philippines' 'Irian Jaya'
 'Curaçao' 'İstanbul' 'Queensland' 'Hungary' 'Sierra Leone' 'Kvarner'
 'Baden-Württemberg' 'Berlin' 'Chile' 'København'
 'Daerah Khusus Ibukota Jakarta' 'Karacalar' 'Aconcagua valley' 'Vrbové'
 'Montenegro' 'Russia' 'California' 'Michigan' 'Rovaniemi' 'Atlanta'
 'Israel' 'Brisbane' 'Turku/Åbo' 'Korea' ""Sibir'"" 'Africa' 'Latgale'
 'Hannover' 'Rīga' 'Southern Italy' 'Chicago' 'Istra' 'Harstad'
 'Grønland/Kalaallit Nunaat' 'Schwerte' 'Russian Federation' 'Mthatha'
 'Northern Europe' 'Venezia' 'Portugal' 'Azerbaijan' 'Japan' 'Guatemala'
 'Mozambique' 'South Carolina' 'West Indies' 'Bergen' 'Belgium' 'Columbia'
 'Yugoslavia' 'Wien' 'United Kingdom' 'Soignies' 'Schwerin' 'Bolivia'
 'Colombia' 'South America' 'Cape Verde' 'Moskva' 'Victoria'
 'North America' 'Melbourne' 'Palestine' 'Hrvatsko Primorje' 'Netherlands'
 'Savonlinna' 'France' 'Tours' 'Neuwied' 'Graz' 'Slavic states'
 'Central America' 'Northern England' 'southern Slavic states' 'Selçuk'
 'Southern United States']"
I,"['corno da tirarsi' 'piano playing' 'instruments--keyboard (piano family)'
 'instruments--string (lute family)' 'instruments--string (violin family)'
 'kemençe' 'instruments--wind (woodwind, flute family)' 'clarinet playing'
 'flute' 'instruments--wind (woodwind, reed family)' 'shamisen music'
 'piano pedagogy' 'kemençe playing' 'instruments--wind (brass)'
 'recorder music' 'lirone' 'lute music' 'violin music']"
L,"['<Making music, making selves: A call for reforming music teacher education>'
 '<Peer Gynt>' 'Treaty of Lausanne'
 '<Lokasi tidak ditemukan: Mencari rock and roll sampai 15,000 kilometer> by Taufiq Rahman'
 ""<Gulliver's travels>"" '<Musikk og identitet>'
 '<The Nazi doctors: Medical killing and the psychology of genocide>'
 '<Kalevala>' '<Die Musik des 19. Jahrhunderts>'
 '<Lokasi tidak ditemukan: Mencari rock and roll sampai 15,000 kilometer>']"
M,"['writings' 'life' 'popular music' 'culture' 'musical life' 'works'
 'dance' 'pedagogy' 'history of music' 'editions'
 'ethnomusicology as discipline' 'interviews' 'performances'
 'sound recordings' 'works, directing' 'musicology as discipline'
 'history' 'therapy' 'academic activities' 'Festschriften'
 'performing arts' 'works, art' 'works, choreography']"
N,"['Grieg, Edvard' 'Christensen, Bernhard' 'Schoenberg, Arnold' 'Dylan, Bob'
 'Sibelius, Jean' 'Reimer, Bennett' 'Akhtar, Begum' 'Bernard, Rhoda'
 'Swift, Taylor' 'Ibsen, Henrik' 'Eminem' 'Boyd, Anne' 'Bourdieu, Pierre'
 'Seeger, Ruth Crawford' 'Reyes, Adelaida' 'Williamson, M.'
 'Kolbe, Grethe' 'Cristofoli, Francesco' 'Widrich, Virgil'
 'Freeman, Betty Wishnick' 'Beethoven, Ludwig van'
 'Bach, Johann Sebastian' 'Jackson, Michael' 'Strauß, Johann (1825-99)'
 'Sinatra, Frank' 'Erikson, Erik H.' 'Bloch, Ernest (1880-1959)'
 'Brutjan, Aršak' 'Rasmussen, Frans' 'Calini, Barbara' 'Jobus, Branislav'
 'Jobus, Andrej' 'Talbot Dunn, Ben' 'Pasch (composer)' 'DiCaire, Véronic'
 'Weill, Kurt' 'Swift, Jonathan' 'Yizhar, S.' 'Johannes de Garlandia'
 'Mead, George Herbert (1863-1931)' 'Richard III, King of England'
 'Bacon, Roger' 'Kuhač, Franjo Ksaver' 'Adorno, Theodor W.'
 'Zimmerman, Robert (Bob Dylan)' 'Contino, Giovanni' 'Anonymous IV'
 'Koppel, Herman D.' 'Dahlhaus, Carl' 'Cavazzoni, Girolamo'
 'Marx, Adolf Bernhard' 'Appenzeller, Benedictus' 'Bowie, David'
 'Rossi, Francesco' 'Komitas' 'Blount, Herman Poole (Sun Ra)'
 'Wotton, Thomas' 'Zorn, John' 'Reinton, Lars Sigurdson' 'Kjær, Birthe'
 'Berger, Harris M.' 'Del Negro, Giovanna P.' 'Filanovskij, Boris'
 'Snellman, Johan Vilhelm' 'Faizabadi, Akhtaribai (Begum Akhtar)'
 'Zlamal, Alexander' 'Carter, Tim' 'Schultze, Johann Christian'
 'Ducis, Benedictus' 'Fjellheim, Frode' 'Strauß, Johann (1866-1939)'
 'Klotz, Volker' 'Costa, António Pereira da' 'St. Germain, Count of'
 'Giovannini' 'Gregory, William' 'Girolamo Mantovano' 'Mantovano, G.'
 'Wenger, Etienne' 'Csáky, Moritz' 'Roganović, Boro' 'Pergament, Moses'
 'Kłoskowska, Antonina' 'Ruud, Even' 'Honorius Augustodunensis'
 'Baesler, Andreas' 'Ansdell, Gary' 'Moyer, J. Harold' 'Warkentin, Larry'
 'Mathers, Marshall (Eminem)' 'Hesmondhalgh, David' 'Csordas, Thomas J.'
 'Enns, Leonard' 'Brisbane, Mark A.' 'Weaver, Carol Ann'
 'Johannes de Sacrobosco' 'Thomas, Charles (Big Charlie)' 'Putter, Jos de'
 'Ogie, Royū II' 'Mendelssohn-Bartholdy, Felix'
 'Henry VII, King of England' 'Williamson, Malcolm (1931-2003)'
 'Seeger, Pete' 'Foucault, Michel' 'Heinrich von Augsburg'
 'Soghomonian, Soghomon Gevorki (Komitas)' 'Augustine of Hippo, Saint'
 'Simnel, Lambert' 'Born, Georgina' 'Lönnrot, Elias'
 'Opitiis, Benedictus de' 'Helpmann, Robert' 'Gadamer, Hans-Georg'
 'Frith, Simon' 'Berio, Luciano' 'Lave, Jean' 'Droz, Eugénie'
 'Isouard, Nicolas (Nicolò)' 'Deleuze, Gilles' 'Guattari, Félix'
 'Wegelius, Martin' 'Liszt, Franz' 'Busnois, Antoine'
 'Merleau-Ponty, Maurice' 'Jones, David Robert (David Bowie)'
 'Ong, Walter J.' 'Hacqueville, Jacqueline de' 'Regis, Johannes'
 'Zawinul, Joe' 'Bateson, Gregory' 'Wagner, Richard' 'Bauman, Zygmunt'
 'Schumann, Robert' 'Thibault, Geneviève' 'Brouwer, Leo'
 'Gudmundsen-Holmgreen, Pelle' 'Rochberg, George' 'Guillaume de Machaut'
 'Sun Ra' 'Nolan, Sidney' 'Grosseteste, Robert'
 'Rabinowitz, Sholem Yakov (Sholem Aleichem)' 'Louis XI, King of France'
 'Lifton, Robert Jay' 'Latour, Bruno' 'Andrade, Mário de' 'Gilroy, Paul'
 'Apostol, Gina' 'Kapissa, Sam' 'Rahman, Taufiq' 'Ap, Arnold'
 'Mosca, Domenico' 'Wiebe, Esther' 'Parow, Jack' 'Glissant, Édouard'
 'Sholem Aleichem']"
O,"['Festspel i Pite Älvdal' 'Kloster Werden'
 'Kristelig Forening for Unge Mænd (KFUM)' 'Mennonite Brethren'
 'Atlanta Symphony Orchestra' 'Rascalz' 'Kör för Alla' 'Vrbovskí Víťazi'
 'Kanacks with Brain (K.W.B.)' 'Los Lobos' 'Los Van Van'
 'Jutajaiset Folklorefestivaali' 'Festspillene i Nord-Norge'
 ""Michigan Womyn's Music Festival""
 'Landesbibliothek Mecklenburg-Vorpommern' 'YouTube'
 'Melodije Istre i Kvarnera' 'Transjoik' 'Die Antwoord'
 'Basilique Saint-Martin de Tours'
 'New Horizons International Music Association' 'Casa Cultural Chilena'
 'Weather Report' 'Assoc. for the Advancement of Creative Musicians'
 'Australian Ballet' 'Spice Girls' 'YB' 'Mambesak' 'Prophets of Da City'
 'Latin Kings' 'Haḃymah' 'Belcanto']"
R,['<Musica enchiriadis>']
S,['Jāzepa Vītola Latvijas Mūzikas Akadēmija' 'Bjøråsen Ungdomskole']
T,"['psychology' 'identity--collective' 'sociology' 'aesthetics'
 'cultural studies' 'pedagogy--general' 'children'
 'therapy--music therapy' 'adolescents' 'sexuality and gender'
 'nationalism' 'pedagogy--by place' 'popular music--by place'
 'traditional music' 'instrumental playing' 'pedagogues' 'rock' 'voice'
 'reception' 'improvisation' 'festivals' 'migrations' 'jazz'
 'psychology of music' 'dance--by place' 'politics' 'composition'
 'popular music--general' 'performance' ""women's studies"" 'Jewish studies'
 'careers' 'hip hop' 'song--popular and traditional' 'ethnomusicology'
 'performers--popular music' 'discographies'
 'performing groups--popular music' 'terminology' 'creative process'
 'periodicals' 'mass media' 'popular music--by genre' 'language'
 'literature' 'ethnomusicologists' 'musicology'
 'singing--by technique or style' 'sound recordings--by name'
 'congresses, conferences, symposia' 'adults' 'Black studies' 'philosophy'
 'song texts' 'karaoke' 'phenomenology' 'dramatic arts'
 'anatomy and physiology' 'electronica' 'symphony' 'music theorists'
 'amateurs' 'listening' 'music industry' 'performing organizations'
 'medicine--by topic' 'audiences' 'academic institutions' 'Middle Ages'
 'performers--conducting' 'postmodernism' 'instruments' 'correspondence'
 'perception' 'performers--voice'
 'performers--traditional and neotraditional music' 'Romani studies'
 'opera--by place' 'science' 'genre studies' 'country music'
 'twentieth century'
 'religion and religious music--Christianity (Protestant)' 'law'
 'religious institutions' 'orchestra'
 'interpretation--by performer or topic' 'performers--organ' 'Office'
 'economics' 'modernism' 'colonialism' 'patronage' 'performers--general'
 'text setting' 'blues' 'autobiographies, diaries, etc.' 'postcolonialism'
 'time' 'computer applications'
 'religion and religious music--Christianity' 'singing--general'
 'sound recordings--by performing group' 'detention facilities'
 'Turkish dance (outside Turkey)' 'Greek dance (outside Greece)'
 'Karṇāṭak music' 'scenography' 'dance--by genre' 'reggae'
 'libraries, museums, collections' 'band' 'anthropology'
 'transculturation' 'musical theater--popular' 'song--general' 'infants'
 'choreography' 'sound recording and reproduction' 'operetta'
 'religion and religious music' 'attribution and authenticity' 'pitch'
 'Western music' 'incidental music' 'world music' 'movement and gesture'
 'space' 'rāga' 'performers--jazz and blues' 'death and dying'
 'cultural policies' 'filmographies and videographies'
 'societies, associations, fraternities, etc.--international'
 'transcription' 'advertising and marketing' 'ceremonies' 'exoticism'
 'visual and plastic arts' 'flamenco' 'film and video' 'musicologists'
 'wars and catastrophes' 'Sámi studies'
 'Macedonian music (outside Macedonia)'
 'South Slavic music (outside region)' 'film music' 'drugs and alcohol'
 'practicing and rehearsing' 'instrument builders--organ' 'sound art'
 'avant-garde' 'geography' 'premieres' 'Marxism'
 'religion and religious music--Christianity (Roman Catholic)' 'serialism'
 'Latin American studies' 'socialism and communism' 'humanism'
 'Indigenous peoples--Americas' 'music theory' 'performers--piano'
 'madrigal' 'directors, producers, etc.' 'criticism--by subject'
 'libretto--general' 'aptitude and ability' 'performers--cornet'
 'folklore' 'dance music--by place' 'hermeneutics'
 'performing groups--small ensembles' 'performers--drums' 'historiography'
 'ethnography' 'dedications' 'wedding music'
 'manuscripts and prints--general' 'biography studies' 'cantata' 'hymnals'
 'conducting' 'instrumentation and orchestration'
 'religion and religious music--Confucianism'
 'performing groups--jazz and blues' 'church musicians' 'choreographers'
 'ethics and morals' 'management' 'choral music'
 'competitions, awards, and prizes'
 'performing groups--traditional and neotraditional music' 'urban studies'
 'African music (outside Africa)' 'band music'
 'musical revue, cabaret, etc.' 'ensemble playing'
 'notation and paleography' 'performers--gusle' 'polyphony'
 'Chinese music (outside China)' 'cultural organizations'
 'societies, associations, fraternities, etc.--national' 'semiotics'
 'motive and theme' 'hymn' 'mixed media' 'opera--general'
 'therapy--arts therapies' 'xiqu--general'
 'performance practice--twentieth and twenty-first century'
 'sound recordings--general']"
W,"['<Peer Gynt>, op. 23' '<Der Zigeunerbaron>' '<Tim pop con Birdland>'
 'symphonies, no. 8 (unpublished)' '<My way>'
 ""<Il primo libro de' madrigali a cinque voci>""
 '<Sari gelin>/<Sari gyalin>' '<Kullervo>, op. 7'
 '<The town and the city>' '<Folk i fortid i Hol>' '<Sequenza III>'
 '<Din tavshed>' '<Tapiola>, op. 112' 'concertos, violin, op. 61 (1806)'
 '<Zazaname>' '<Birdland>' '<Sari aghjik>']"
X,"['ex-inmates' 'Thomas, Big Charlie']"
Z,"['rap music' 'music education' 'cultural identity' 'national identity'
 'musician identity' 'choral singing' 'motivation' 'black metal' 'boys'
 'forensic music therapy' 'improvisational music therapy'
 'ethnic identity' 'Jewish identity' 'musicals' 'professional identity'
 'gender identity' 'musician-teacher' 'group improvisation'
 'immigrant communities' 'early childhood' 'regional identity'
 'instrumental pedagogy' 'Internet' 'singing impersonation' 'habitus'
 'medical music therapy' 'popular music education'
 'environmental sound art' 'voice perception' 'MIDI' 'social identity'
 'instrumentation' 'yueju (Cantonese opera)' 'cueca'
 'philosophy of music education' 'twelve-tone technique' 'punk'
 'group identity' 'English language' 'heavy metal'
 'performance psychology' 'vocal pedagogy' 'special education'
 'lesbianism' 'songwriting' 'Orientalism' 'occupational identity'
 'sexual identity' 'voice physiology' 'Balkan Wars' 'religious identity'
 'visual perception' 'punk, hardcore' 'conducting technique'
 'improvisation pedagogy' 'creative music therapy'
 'psychology as discipline' 'ringtones' 'timba'
 'intercultural music therapy' 'political identity' 'local identity'
 'multicultural music therapy' 'music listening' 'Mandarin language'
 'pop music' 'television' 'ensemble pedagogy' 'funk' 'music psychotherapy'
 'cumbia' 'field recording' 'sociology as discipline'
 'world music pedagogy' 'novels' 'cultural geography' 'gender roles'
 'techno' 'broadcasting' 'huayno' 'son' 'cultural psychology'
 'masculinity' 'radio' 'intertextuality' 'epistemology' 'subjectivity'
 'music teacher' 'ethnography as discipline' 'speaking voice']"
